region,admin_unit,season_year,season,fires,area_km2,fires_per_1000km2
Uttar Pradesh,AGRA,2019,Kharif,6,3890.8178283613897,1.54
Uttar Pradesh,AGRA,2019,Rabi,11,3890.8178283613897,2.83
Uttar Pradesh,AGRA,2020,Kharif,24,3890.8178283613897,6.17
Uttar Pradesh,AGRA,2020,Rabi,10,3890.8178283613897,2.57
Uttar Pradesh,AGRA,2021,Kharif,6,3890.8178283613897,1.54
Uttar Pradesh,AGRA,2021,Rabi,29,3890.8178283613897,7.45
Uttar Pradesh,AGRA,2022,Kharif,1,3890.8178283613897,0.26
Uttar Pradesh,AGRA,2022,Rabi,10,3890.8178283613897,2.57
Uttar Pradesh,AGRA,2023,Kharif,11,3890.8178283613897,2.83
Uttar Pradesh,AGRA,2023,Rabi,8,3890.8178283613897,2.06
Uttar Pradesh,AGRA,2024,Kharif,13,3890.8178283613897,3.34
Uttar Pradesh,AGRA,2024,Rabi,17,3890.8178283613897,4.37
Uttar Pradesh,AGRA,2025,Kharif,15,3890.8178283613897,3.86
Uttar Pradesh,AGRA,2025,Rabi,28,3890.8178283613897,7.2
Uttar Pradesh,AGRA,2026,Rabi,20,3890.8178283613897,5.14
Uttar Pradesh,ALIGARH,2019,Kharif,160,3585.184821630347,44.63
Uttar Pradesh,ALIGARH,2019,Rabi,156,3585.184821630347,43.51
Uttar Pradesh,ALIGARH,2020,Kharif,258,3585.184821630347,71.96
Uttar Pradesh,ALIGARH,2020,Rabi,86,3585.184821630347,23.99
Uttar Pradesh,ALIGARH,2021,Kharif,118,3585.184821630347,32.91
Uttar Pradesh,ALIGARH,2021,Rabi,186,3585.184821630347,51.88
Uttar Pradesh,ALIGARH,2022,Kharif,118,3585.184821630347,32.91
Uttar Pradesh,ALIGARH,2022,Rabi,54,3585.184821630347,15.06
Uttar Pradesh,ALIGARH,2023,Kharif,185,3585.184821630347,51.6
Uttar Pradesh,ALIGARH,2023,Rabi,70,3585.184821630347,19.52
Uttar Pradesh,ALIGARH,2024,Kharif,250,3585.184821630347,69.73
Uttar Pradesh,ALIGARH,2024,Rabi,121,3585.184821630347,33.75
Uttar Pradesh,ALIGARH,2025,Kharif,162,3585.184821630347,45.19
Uttar Pradesh,ALIGARH,2025,Rabi,168,3585.184821630347,46.86
Uttar Pradesh,ALIGARH,2026,Rabi,162,3585.184821630347,45.19
Uttar Pradesh,AMBEDKAR NAGAR,2019,Kharif,63,2237.8999235034285,28.15
Uttar Pradesh,AMBEDKAR NAGAR,2019,Rabi,189,2237.8999235034285,84.45
Uttar Pradesh,AMBEDKAR NAGAR,2020,Kharif,153,2237.8999235034285,68.37
Uttar Pradesh,AMBEDKAR NAGAR,2020,Rabi,26,2237.8999235034285,11.62
Uttar Pradesh,AMBEDKAR NAGAR,2021,Kharif,124,2237.8999235034285,55.41
Uttar Pradesh,AMBEDKAR NAGAR,2021,Rabi,40,2237.8999235034285,17.87
Uttar Pradesh,AMBEDKAR NAGAR,2022,Kharif,272,2237.8999235034285,121.54
Uttar Pradesh,AMBEDKAR NAGAR,2022,Rabi,53,2237.8999235034285,23.68
Uttar Pradesh,AMBEDKAR NAGAR,2023,Kharif,176,2237.8999235034285,78.65
Uttar Pradesh,AMBEDKAR NAGAR,2023,Rabi,35,2237.8999235034285,15.64
Uttar Pradesh,AMBEDKAR NAGAR,2024,Kharif,352,2237.8999235034285,157.29
Uttar Pradesh,AMBEDKAR NAGAR,2024,Rabi,127,2237.8999235034285,56.75
Uttar Pradesh,AMBEDKAR NAGAR,2025,Kharif,380,2237.8999235034285,169.8
Uttar Pradesh,AMBEDKAR NAGAR,2025,Rabi,117,2237.8999235034285,52.28
Uttar Pradesh,AMBEDKAR NAGAR,2026,Rabi,156,2237.8999235034285,69.71
Uttar Pradesh,AMETHI,2019,Kharif,112,2333.8409605994525,47.99
Uttar Pradesh,AMETHI,2019,Rabi,384,2333.8409605994525,164.54
Uttar Pradesh,AMETHI,2020,Kharif,78,2333.8409605994525,33.42
Uttar Pradesh,AMETHI,2020,Rabi,79,2333.8409605994525,33.85
Uttar Pradesh,AMETHI,2021,Kharif,190,2333.8409605994525,81.41
Uttar Pradesh,AMETHI,2021,Rabi,189,2333.8409605994525,80.98
Uttar Pradesh,AMETHI,2022,Kharif,202,2333.8409605994525,86.55
Uttar Pradesh,AMETHI,2022,Rabi,119,2333.8409605994525,50.99
Uttar Pradesh,AMETHI,2023,Kharif,265,2333.8409605994525,113.55
Uttar Pradesh,AMETHI,2023,Rabi,87,2333.8409605994525,37.28
Uttar Pradesh,AMETHI,2024,Kharif,306,2333.8409605994525,131.11
Uttar Pradesh,AMETHI,2024,Rabi,327,2333.8409605994525,140.11
Uttar Pradesh,AMETHI,2025,Kharif,325,2333.8409605994525,139.26
Uttar Pradesh,AMETHI,2025,Rabi,225,2333.8409605994525,96.41
Uttar Pradesh,AMETHI,2026,Rabi,240,2333.8409605994525,102.83
Uttar Pradesh,AMROHA,2019,Kharif,32,2107.0888259170124,15.19
Uttar Pradesh,AMROHA,2019,Rabi,27,2107.0888259170124,12.81
Uttar Pradesh,AMROHA,2020,Kharif,75,2107.0888259170124,35.59
Uttar Pradesh,AMROHA,2020,Rabi,28,2107.0888259170124,13.29
Uttar Pradesh,AMROHA,2021,Kharif,53,2107.0888259170124,25.15
Uttar Pradesh,AMROHA,2021,Rabi,54,2107.0888259170124,25.63
Uttar Pradesh,AMROHA,2022,Kharif,72,2107.0888259170124,34.17
Uttar Pradesh,AMROHA,2022,Rabi,33,2107.0888259170124,15.66
Uttar Pradesh,AMROHA,2023,Kharif,35,2107.0888259170124,16.61
Uttar Pradesh,AMROHA,2023,Rabi,28,2107.0888259170124,13.29
Uttar Pradesh,AMROHA,2024,Kharif,89,2107.0888259170124,42.24
Uttar Pradesh,AMROHA,2024,Rabi,31,2107.0888259170124,14.71
Uttar Pradesh,AMROHA,2025,Kharif,45,2107.0888259170124,21.36
Uttar Pradesh,AMROHA,2025,Rabi,47,2107.0888259170124,22.31
Uttar Pradesh,AMROHA,2026,Rabi,15,2107.0888259170124,7.12
Uttar Pradesh,AURAIYA,2019,Kharif,172,1944.7455055909004,88.44
Uttar Pradesh,AURAIYA,2019,Rabi,109,1944.7455055909004,56.05
Uttar Pradesh,AURAIYA,2020,Kharif,283,1944.7455055909004,145.52
Uttar Pradesh,AURAIYA,2020,Rabi,103,1944.7455055909004,52.96
Uttar Pradesh,AURAIYA,2021,Kharif,194,1944.7455055909004,99.76
Uttar Pradesh,AURAIYA,2021,Rabi,90,1944.7455055909004,46.28
Uttar Pradesh,AURAIYA,2022,Kharif,243,1944.7455055909004,124.95
Uttar Pradesh,AURAIYA,2022,Rabi,99,1944.7455055909004,50.91
Uttar Pradesh,AURAIYA,2023,Kharif,203,1944.7455055909004,104.38
Uttar Pradesh,AURAIYA,2023,Rabi,56,1944.7455055909004,28.8
Uttar Pradesh,AURAIYA,2024,Kharif,388,1944.7455055909004,199.51
Uttar Pradesh,AURAIYA,2024,Rabi,114,1944.7455055909004,58.62
Uttar Pradesh,AURAIYA,2025,Kharif,539,1944.7455055909004,277.16
Uttar Pradesh,AURAIYA,2025,Rabi,181,1944.7455055909004,93.07
Uttar Pradesh,AURAIYA,2026,Rabi,197,1944.7455055909004,101.3
Uttar Pradesh,AYODHYA,2019,Kharif,18,2588.0579013229,6.96
Uttar Pradesh,AYODHYA,2019,Rabi,54,2588.0579013229,20.87
Uttar Pradesh,AYODHYA,2020,Kharif,61,2588.0579013229,23.57
Uttar Pradesh,AYODHYA,2020,Rabi,11,2588.0579013229,4.25
Uttar Pradesh,AYODHYA,2021,Kharif,56,2588.0579013229,21.64
Uttar Pradesh,AYODHYA,2021,Rabi,25,2588.0579013229,9.66
Uttar Pradesh,AYODHYA,2022,Kharif,63,2588.0579013229,24.34
Uttar Pradesh,AYODHYA,2022,Rabi,29,2588.0579013229,11.21
Uttar Pradesh,AYODHYA,2023,Kharif,99,2588.0579013229,38.25
Uttar Pradesh,AYODHYA,2023,Rabi,52,2588.0579013229,20.09
Uttar Pradesh,AYODHYA,2024,Kharif,144,2588.0579013229,55.64
Uttar Pradesh,AYODHYA,2024,Rabi,80,2588.0579013229,30.91
Uttar Pradesh,AYODHYA,2025,Kharif,134,2588.0579013229,51.78
Uttar Pradesh,AYODHYA,2025,Rabi,53,2588.0579013229,20.48
Uttar Pradesh,AYODHYA,2026,Rabi,54,2588.0579013229,20.87
Uttar Pradesh,AZAMGARH,2019,Kharif,58,4055.0323217040977,14.3
Uttar Pradesh,AZAMGARH,2019,Rabi,789,4055.0323217040977,194.57
Uttar Pradesh,AZAMGARH,2020,Kharif,196,4055.0323217040977,48.34
Uttar Pradesh,AZAMGARH,2020,Rabi,142,4055.0323217040977,35.02
Uttar Pradesh,AZAMGARH,2021,Kharif,174,4055.0323217040977,42.91
Uttar Pradesh,AZAMGARH,2021,Rabi,393,4055.0323217040977,96.92
Uttar Pradesh,AZAMGARH,2022,Kharif,150,4055.0323217040977,36.99
Uttar Pradesh,AZAMGARH,2022,Rabi,195,4055.0323217040977,48.09
Uttar Pradesh,AZAMGARH,2023,Kharif,169,4055.0323217040977,41.68
Uttar Pradesh,AZAMGARH,2023,Rabi,229,4055.0323217040977,56.47
Uttar Pradesh,AZAMGARH,2024,Kharif,235,4055.0323217040977,57.95
Uttar Pradesh,AZAMGARH,2024,Rabi,801,4055.0323217040977,197.53
Uttar Pradesh,AZAMGARH,2025,Kharif,221,4055.0323217040977,54.5
Uttar Pradesh,AZAMGARH,2025,Rabi,417,4055.0323217040977,102.84
Uttar Pradesh,AZAMGARH,2026,Rabi,768,4055.0323217040977,189.39
Uttar Pradesh,BAGHPAT,2019,Kharif,135,1281.8003535465116,105.32
Uttar Pradesh,BAGHPAT,2019,Rabi,63,1281.8003535465116,49.15
Uttar Pradesh,BAGHPAT,2020,Kharif,254,1281.8003535465116,198.16
Uttar Pradesh,BAGHPAT,2020,Rabi,32,1281.8003535465116,24.96
Uttar Pradesh,BAGHPAT,2021,Kharif,204,1281.8003535465116,159.15
Uttar Pradesh,BAGHPAT,2021,Rabi,36,1281.8003535465116,28.09
Uttar Pradesh,BAGHPAT,2022,Kharif,197,1281.8003535465116,153.69
Uttar Pradesh,BAGHPAT,2022,Rabi,40,1281.8003535465116,31.21
Uttar Pradesh,BAGHPAT,2023,Kharif,229,1281.8003535465116,178.65
Uttar Pradesh,BAGHPAT,2023,Rabi,25,1281.8003535465116,19.5
Uttar Pradesh,BAGHPAT,2024,Kharif,246,1281.8003535465116,191.92
Uttar Pradesh,BAGHPAT,2024,Rabi,44,1281.8003535465116,34.33
Uttar Pradesh,BAGHPAT,2025,Kharif,209,1281.8003535465116,163.05
Uttar Pradesh,BAGHPAT,2025,Rabi,46,1281.8003535465116,35.89
Uttar Pradesh,BAGHPAT,2026,Rabi,28,1281.8003535465116,21.84
Uttar Pradesh,BAHRAICH,2019,Kharif,143,4740.986022149935,30.16
Uttar Pradesh,BAHRAICH,2019,Rabi,597,4740.986022149935,125.92
Uttar Pradesh,BAHRAICH,2020,Kharif,240,4740.986022149935,50.62
Uttar Pradesh,BAHRAICH,2020,Rabi,165,4740.986022149935,34.8
Uttar Pradesh,BAHRAICH,2021,Kharif,166,4740.986022149935,35.01
Uttar Pradesh,BAHRAICH,2021,Rabi,335,4740.986022149935,70.66
Uttar Pradesh,BAHRAICH,2022,Kharif,107,4740.986022149935,22.57
Uttar Pradesh,BAHRAICH,2022,Rabi,241,4740.986022149935,50.83
Uttar Pradesh,BAHRAICH,2023,Kharif,168,4740.986022149935,35.44
Uttar Pradesh,BAHRAICH,2023,Rabi,131,4740.986022149935,27.63
Uttar Pradesh,BAHRAICH,2024,Kharif,240,4740.986022149935,50.62
Uttar Pradesh,BAHRAICH,2024,Rabi,460,4740.986022149935,97.03
Uttar Pradesh,BAHRAICH,2025,Kharif,281,4740.986022149935,59.27
Uttar Pradesh,BAHRAICH,2025,Rabi,500,4740.986022149935,105.46
Uttar Pradesh,BAHRAICH,2026,Rabi,243,4740.986022149935,51.26
Uttar Pradesh,BALLIA,2019,Kharif,92,2876.910128185481,31.98
Uttar Pradesh,BALLIA,2019,Rabi,884,2876.910128185481,307.27
Uttar Pradesh,BALLIA,2020,Kharif,399,2876.910128185481,138.69
Uttar Pradesh,BALLIA,2020,Rabi,92,2876.910128185481,31.98
Uttar Pradesh,BALLIA,2021,Kharif,261,2876.910128185481,90.72
Uttar Pradesh,BALLIA,2021,Rabi,419,2876.910128185481,145.64
Uttar Pradesh,BALLIA,2022,Kharif,203,2876.910128185481,70.56
Uttar Pradesh,BALLIA,2022,Rabi,363,2876.910128185481,126.18
Uttar Pradesh,BALLIA,2023,Kharif,180,2876.910128185481,62.57
Uttar Pradesh,BALLIA,2023,Rabi,495,2876.910128185481,172.06
Uttar Pradesh,BALLIA,2024,Kharif,311,2876.910128185481,108.1
Uttar Pradesh,BALLIA,2024,Rabi,1055,2876.910128185481,366.71
Uttar Pradesh,BALLIA,2025,Kharif,292,2876.910128185481,101.5
Uttar Pradesh,BALLIA,2025,Rabi,504,2876.910128185481,175.19
Uttar Pradesh,BALLIA,2026,Rabi,264,2876.910128185481,91.77
