platform,conf,n
MODIS,100,424
MODIS,30,56
MODIS,31,59
MODIS,32,51
MODIS,33,67
MODIS,34,73
MODIS,35,74
MODIS,36,80
MODIS,37,88
MODIS,38,81
MODIS,39,111
MODIS,40,129
MODIS,41,136
MODIS,42,136
MODIS,43,137
MODIS,44,158
MODIS,45,171
MODIS,46,167
MODIS,47,206
MODIS,48,234
MODIS,49,227
MODIS,50,292
MODIS,51,301
MODIS,52,344
MODIS,53,353
MODIS,54,444
MODIS,55,467
MODIS,56,495
MODIS,57,575
MODIS,58,592
MODIS,59,598
MODIS,60,607
MODIS,61,592
MODIS,62,659
MODIS,63,699
MODIS,64,731
MODIS,65,656
MODIS,66,696
MODIS,67,689
MODIS,68,655
MODIS,69,678
MODIS,70,618
MODIS,71,646
MODIS,72,585
MODIS,73,572
MODIS,74,518
MODIS,75,532
MODIS,76,461
MODIS,77,484
MODIS,78,419
MODIS,79,381
MODIS,80,371
MODIS,81,379
MODIS,82,299
MODIS,83,282
MODIS,84,256
MODIS,85,273
MODIS,86,242
MODIS,87,200
MODIS,88,186
MODIS,89,157
MODIS,90,154
MODIS,91,139
MODIS,92,131
MODIS,93,111
MODIS,94,107
MODIS,95,100
MODIS,96,83
MODIS,97,61
MODIS,98,52
MODIS,99,60
VIIRS,h,11202
VIIRS,n,276417
