region,year,platform,n,share
Uttar Pradesh,2019,MODIS,3687,0.077
Uttar Pradesh,2019,VIIRS,44044,0.923
Uttar Pradesh,2020,MODIS,1457,0.06
Uttar Pradesh,2020,VIIRS,22903,0.94
Uttar Pradesh,2021,MODIS,2607,0.076
Uttar Pradesh,2021,VIIRS,31704,0.924
Uttar Pradesh,2022,MODIS,2747,0.075
Uttar Pradesh,2022,VIIRS,33841,0.925
Uttar Pradesh,2023,MODIS,2202,0.072
Uttar Pradesh,2023,VIIRS,28580,0.928
Uttar Pradesh,2024,MODIS,4113,0.072
Uttar Pradesh,2024,VIIRS,52988,0.928
Uttar Pradesh,2025,MODIS,3751,0.077
Uttar Pradesh,2025,VIIRS,45187,0.923
Uttar Pradesh,2026,MODIS,2283,0.074
Uttar Pradesh,2026,VIIRS,28372,0.926
