region,season_year,season,n,total_frp
Uttar Pradesh,2019,Kharif,10683,44282.86
Uttar Pradesh,2019,Rabi,37048,256749.65
Uttar Pradesh,2020,Kharif,13515,46796.2
Uttar Pradesh,2020,Rabi,10845,70169.15
Uttar Pradesh,2021,Kharif,13029,49836.88
Uttar Pradesh,2021,Rabi,21282,179316.48
Uttar Pradesh,2022,Kharif,14578,56237.48
Uttar Pradesh,2022,Rabi,22010,180321.76
Uttar Pradesh,2023,Kharif,14209,53587.78
Uttar Pradesh,2023,Rabi,16573,111991.83
Uttar Pradesh,2024,Kharif,21095,84125.79
Uttar Pradesh,2024,Rabi,36006,280593.46
Uttar Pradesh,2025,Kharif,20914,83829.56
Uttar Pradesh,2025,Rabi,28024,191462.54
Uttar Pradesh,2026,Rabi,30655,226020.96
